filename,V0_LAT,V0_LON,V1_LAT,V1_LON,V2_LAT,V2_LON,V3_LAT,V3_LON,Al_Si_ratio
01_ch2_cla_l1_20240701T115336112_20240701T115344112.fits,-72.7378,-130.832,-73.8549,-131.057,-73.8825,-128.519,-72.7637,-128.447,0.8
01_ch2_cla_l1_20240701T115504112_20240701T115512112.fits,-77.278,-131.972,-78.3755,-132.383,-78.4125,-128.974,-77.3119,-128.844,0.69
01_ch2_cla_l1_20240701T100755848_20240701T100803848.fits,-72.0818,54.3069,-73.0731,54.3709,-73.0521,56.3343,-72.0621,56.1601,0.42
01_ch2_cla_l1_20240701T095643848_20240701T095651848.fits,-71.8818,-129.555,-73.0006,-129.758,-73.0265,-127.338,-71.9062,-127.274,0.33
01_ch2_cla_l1_20240701T165157826_20240701T165205826.fits,82.6063,-128.541,81.3827,-128.824,81.3204,-123.392,82.5341,-122.241,0.5
01_ch2_cla_l1_20240701T094051848_20240701T094059848.fits,-23.401,-127.144,-24.6988,-127.166,-24.7095,-126.18,-23.4115,-126.167,0.08
01_ch2_cla_l1_20240701T154513767_20240701T154521767.fits,-67.9041,-132.364,-69.0445,-132.509,-69.0676,-130.468,-67.926,-130.419,0.07
01_ch2_cla_l1_20240701T171133826_20240701T171141826.fits,23.6351,-130.831,22.2806,-130.846,22.2688,-129.813,23.6232,-129.788,0.81
01_ch2_cla_l1_20240701T095827848_20240701T095835848.fits,-77.2486,-130.822,-78.3442,-131.225,-78.3805,-127.836,-77.2819,-127.711,0.05
01_ch2_cla_l1_20240701T152617767_20240701T152625767.fits,-10.3051,-130.205,-11.6335,-130.224,-11.6443,-129.277,-10.3158,-129.261,0.93
01_ch2_cla_l1_20240701T185850911_20240701T185858911.fits,51.5448,-131.486,50.2299,-131.506,50.2133,-130.077,51.5277,-130.018,0.34
01_ch2_cla_l1_20240701T175357826_20240701T175405826.fits,-73.221,50.1734,-74.2261,50.2569,-74.2012,52.4132,-73.1976,52.1992,0.74
01_ch2_cla_l1_20240701T125741195_20240701T125749195.fits,85.8646,-125.094,84.649,-125.835,84.5536,-117.268,85.7415,-114.145,0.91
01_ch2_cla_l1_20240701T113816112_20240701T113824112.fits,-25.8564,-128.283,-27.147,-128.307,-27.1579,-127.309,-25.8672,-127.295,0.78
01_ch2_cla_l1_20240701T110240112_20240701T110248112.fits,81.0551,-125.875,79.8187,-126.047,79.7678,-121.361,80.9973,-120.562,0.72
01_ch2_cla_l1_20240701T165237826_20240701T165245826.fits,80.581,-128.992,79.35,-129.173,79.299,-124.719,80.5236,-123.976,1.15
01_ch2_cla_l1_20240701T165405826_20240701T165413826.fits,76.1312,-129.536,74.8846,-129.626,74.8477,-126.4,76.0912,-126.034,0.79
01_ch2_cla_l1_20240701T100427848_20240701T100435848.fits,-82.9466,55.8355,-83.9735,56.2578,-83.9117,62.0237,-82.8938,60.764,0.18
01_ch2_cla_l1_20240701T173605826_20240701T173613826.fits,-50.3087,-132.258,-51.5188,-132.309,-51.5338,-131.019,-50.3233,-130.998,0.92
01_ch2_cla_l1_20240701T173037826_20240701T173045826.fits,-33.6653,-131.738,-34.933,-131.768,-34.9452,-130.715,-33.6774,-130.699,0.17
01_ch2_cla_l1_20240701T105152112_20240701T105200112.fits,66.9572,50.5877,65.8504,50.7043,65.8688,52.401,66.9764,52.3651,0.29
01_ch2_cla_l1_20240701T133541195_20240701T133549195.fits,-28.3512,-129.427,-29.6348,-129.453,-29.6461,-128.44,-28.3624,-128.426,0.6
01_ch2_cla_l1_20240701T175333826_20240701T175341826.fits,-74.4753,50.2771,-75.4843,50.374,-75.4571,52.729,-74.4499,52.4772,0.59
01_ch2_cla_l1_20240701T150713767_20240701T150721767.fits,46.7994,-129.43,45.47,-129.447,45.4552,-128.122,46.7842,-128.074,0.2
01_ch2_cla_l1_20240701T114040112_20240701T114048112.fits,-33.1228,-128.434,-34.3912,-128.462,-34.4027,-127.415,-33.1342,-127.4,0.94
01_ch2_cla_l1_20240701T085923848_20240701T085931848.fits,79.7042,48.5087,78.5486,49.0736,78.589,52.8527,79.7492,52.7154,0.41
01_ch2_cla_l1_20240701T111912112_20240701T111920112.fits,31.3302,-127.488,29.9745,-127.501,29.9625,-126.396,31.318,-126.368,0.42
01_ch2_cla_l1_20240701T131229196_20240701T131237196.fits,41.2398,-128.437,39.8985,-128.452,39.885,-127.224,41.2261,-127.185,0.21
01_ch2_cla_l1_20240701T115352112_20240701T115400112.fits,-73.5627,-130.993,-74.6764,-131.241,-74.7053,-128.583,-73.5898,-128.504,1.18
01_ch2_cla_l1_20240701T150905767_20240701T150913767.fits,41.2041,-129.515,39.8649,-129.53,39.8512,-128.306,41.1901,-128.267,0.21
01_ch2_cla_l1_20240701T105232112_20240701T105240112.fits,69.0224,50.3266,67.9074,50.467,67.9276,52.3359,69.0437,52.2943,0.24
01_ch2_cla_l1_20240701T085747848_20240701T085755848.fits,74.7854,50.3589,73.6469,50.6224,73.6746,53.212,74.8152,53.1431,1.05
01_ch2_cla_l1_20240701T173813826_20240701T173821826.fits,-56.841,-132.576,-58.0265,-132.646,-58.0436,-131.179,-56.8576,-131.152,0.08
01_ch2_cla_l1_20240701T192226911_20240701T192234911.fits,-19.2198,-132.536,-20.5278,-132.558,-20.5394,-131.59,-19.2313,-131.575,0.22
01_ch2_cla_l1_20240701T090251848_20240701T090259848.fits,89.7841,-33.0482,88.9143,-57.4919,88.9136,-14.5078,89.1663,38.9823,1.19
01_ch2_cla_l1_20240701T185458911_20240701T185506911.fits,63.1847,-131.212,61.8995,-131.243,61.8778,-129.37,63.162,-129.258,0.38
01_ch2_cla_l1_20240701T153321767_20240701T153329767.fits,-31.6275,-130.593,-32.9012,-130.621,-32.913,-129.585,-31.6392,-129.57,0.31
01_ch2_cla_l1_20240701T091443848_20240701T091451848.fits,54.9191,-126.069,53.6002,-126.087,53.5837,-124.54,54.902,-124.473,0.41
01_ch2_cla_l1_20240701T111704112_20240701T111712112.fits,37.7117,-127.405,36.363,-127.419,36.3502,-126.24,37.6986,-126.205,1.04
01_ch2_cla_l1_20240701T111136112_20240701T111144112.fits,54.0961,-127.159,52.7776,-127.177,52.7612,-125.66,54.0791,-125.595,0.2
01_ch2_cla_l1_20240701T155209767_20240701T155217767.fits,-88.8931,169.181,-89.3857,82.0175,-89.6538,160.561,-89.3727,-160.918,0.73
01_ch2_cla_l1_20240701T164141826_20240701T164149826.fits,66.992,47.2433,65.8893,47.364,65.9086,49.0525,67.0122,49.0123,0.73
01_ch2_cla_l1_20240701T133909195_20240701T133917195.fits,-38.8664,-129.672,-40.1159,-129.706,-40.1282,-128.602,-38.8785,-128.586,0.29
01_ch2_cla_l1_20240701T194122911_20240701T194130911.fits,-77.0338,-136.511,-78.1398,-136.937,-78.1801,-133.549,-77.0708,-133.4,1.01
01_ch2_cla_l1_20240701T124957195_20240701T125005195.fits,71.5386,48.8159,70.4157,48.9985,70.4391,51.1222,71.5634,51.0689,0.74
01_ch2_cla_l1_20240701T144601767_20240701T144609767.fits,69.9018,47.9681,68.7866,48.124,68.8084,50.0679,69.9248,50.0197,0.24
01_ch2_cla_l1_20240701T185706911_20240701T185714911.fits,56.7573,-131.378,55.4548,-131.402,55.4364,-129.813,56.7382,-129.737,0.68
01_ch2_cla_l1_20240701T111928112_20240701T111936112.fits,30.5328,-127.497,29.1765,-127.511,29.1645,-126.414,30.5207,-126.386,0.8
01_ch2_cla_l1_20240701T133725195_20240701T133733195.fits,-33.6025,-129.541,-34.8696,-129.57,-34.8813,-128.519,-33.6141,-128.504,0.07
01_ch2_cla_l1_20240701T150057767_20240701T150105767.fits,65.6459,-129.025,64.3632,-129.058,64.3404,-127.025,65.622,-126.894,1.02
01_ch2_cla_l1_20240701T150729767_20240701T150737767.fits,45.9996,-129.443,44.6688,-129.459,44.6541,-128.15,45.9847,-128.104,1.05
01_ch2_cla_l1_20240701T114224112_20240701T114232112.fits,-38.3859,-128.561,-39.6366,-128.593,-39.6486,-127.496,-38.3977,-127.48,0.56
01_ch2_cla_l1_20240701T092819848_20240701T092827848.fits,14.2228,-126.612,12.8612,-126.626,12.8506,-125.638,14.2121,-125.618,0.13
01_ch2_cla_l1_20240701T105800112_20240701T105808112.fits,85.7855,39.0384,84.6296,42.0739,84.7201,50.3603,85.9015,49.628,0.03
01_ch2_cla_l1_20240701T191402911_20240701T191410911.fits,6.0137,-132.146,4.6647,-132.162,4.6534,-131.209,6.0024,-131.191,0.06
01_ch2_cla_l1_20240701T190210911_20240701T190218911.fits,41.5406,-131.657,40.2063,-131.673,40.1921,-130.45,41.5262,-130.41,0.93
01_ch2_cla_l1_20240701T192034911_20240701T192042911.fits,-13.5971,-132.439,-14.9178,-132.459,-14.9292,-131.507,-13.6084,-131.492,0.45
01_ch2_cla_l1_20240701T105448112_20240701T105456112.fits,76.0216,48.8926,74.8802,49.206,74.9107,52.0146,76.0546,51.9319,0.02
01_ch2_cla_l1_20240701T091835848_20240701T091843848.fits,43.3257,-126.249,41.9831,-126.263,41.9695,-124.995,43.3119,-124.953,0.28
01_ch2_cla_l1_20240701T130149195_20240701T130157195.fits,73.3263,-127.65,72.0656,-127.709,72.0349,-124.928,73.2934,-124.671,0.85
01_ch2_cla_l1_20240701T191018911_20240701T191026911.fits,17.1906,-131.996,15.8366,-132.011,15.8251,-131.018,17.1789,-130.996,0.55
01_ch2_cla_l1_20240701T164325826_20240701T164333826.fits,72.3584,46.4167,71.2354,46.6206,71.2607,48.8337,72.3854,48.7713,0.47
01_ch2_cla_l1_20240701T153145767_20240701T153153767.fits,-26.7843,-130.491,-28.0726,-130.516,-28.084,-129.513,-26.7956,-129.498,1.19
01_ch2_cla_l1_20240701T173829826_20240701T173837826.fits,-57.6591,-132.624,-58.8415,-132.697,-58.8588,-131.202,-57.676,-131.174,0.83
01_ch2_cla_l1_20240701T094339848_20240701T094347848.fits,-31.8721,-127.31,-33.1443,-127.337,-33.1555,-126.3,-31.8831,-126.286,0.35
01_ch2_cla_l1_20240701T131213196_20240701T131221196.fits,42.0385,-128.426,40.6985,-128.44,40.6848,-127.2,42.0246,-127.16,0.77
01_ch2_cla_l1_20240701T085955848_20240701T090003848.fits,81.3368,47.4345,80.1765,48.222,80.224,52.6611,81.3907,52.4736,0.55
01_ch2_cla_l1_20240701T134349195_20240701T134357195.fits,-53.1067,-130.167,-54.304,-130.223,-54.3191,-128.871,-53.1214,-128.849,0.61
01_ch2_cla_l1_20240701T184154911_20240701T184202911.fits,78.1455,43.5613,77.004,44.0122,77.0423,47.2765,78.1876,47.1435,0.26
01_ch2_cla_l1_20240701T152849767_20240701T152857767.fits,-17.9298,-130.328,-19.2416,-130.349,-19.2526,-129.385,-17.9407,-129.37,0.35
01_ch2_cla_l1_20240701T172125826_20240701T172133826.fits,-5.9159,-131.229,-7.2516,-131.247,-7.2625,-130.304,-5.9268,-130.288,0.81
01_ch2_cla_l1_20240701T132757195_20240701T132805195.fits,-5.0527,-129.038,-6.3915,-129.055,-6.402,-128.111,-5.0632,-128.095,0.07
01_ch2_cla_l1_20240701T145345767_20240701T145353767.fits,87.4618,-123.846,86.2569,-125.631,86.1214,-113.709,87.2664,-106.884,1.2
01_ch2_cla_l1_20240701T190914911_20240701T190922911.fits,20.3824,-131.953,19.0287,-131.968,19.0169,-130.958,20.3705,-130.935,0.65
01_ch2_cla_l1_20240701T100635848_20240701T100643848.fits,-76.2683,54.6257,-77.273,54.7326,-77.2446,57.3903,-76.242,57.0861,0.87
01_ch2_cla_l1_20240701T131845195_20240701T131853195.fits,22.4919,-128.681,21.1331,-128.695,21.1217,-127.666,22.4803,-127.642,1.01
01_ch2_cla_l1_20240701T090139848_20240701T090147848.fits,86.5694,36.9823,85.4203,41.343,85.5258,51.1359,86.7117,50.1108,0.05
01_ch2_cla_l1_20240701T113648112_20240701T113656112.fits,-21.4266,-128.202,-22.7301,-128.224,-22.7408,-127.247,-21.4373,-127.233,1.06
01_ch2_cla_l1_20240701T085811848_20240701T085819848.fits,76.0175,50.0164,74.8745,50.3275,74.9046,53.142,76.05,53.0622,0.09
01_ch2_cla_l1_20240701T140037195_20240701T140045195.fits,-73.6711,52.2979,-74.6725,52.3792,-74.6482,54.582,-73.6483,54.3638,1.15
01_ch2_cla_l1_20240701T193938911_20240701T193946911.fits,-71.677,-135.182,-72.8055,-135.398,-72.8344,-132.969,-71.7042,-132.893,1.15
01_ch2_cla_l1_20240701T154257767_20240701T154305767.fits,-60.9233,-131.722,-62.0919,-131.81,-62.1101,-130.189,-60.941,-130.157,0.65
01_ch2_cla_l1_20240701T184234911_20240701T184242911.fits,80.192,42.4725,79.0443,43.123,79.0902,47.0304,80.2433,46.8426,0.8
01_ch2_cla_l1_20240701T171749826_20240701T171757826.fits,4.8799,-131.077,3.5303,-131.093,3.5194,-130.141,4.8689,-130.123,0.92
01_ch2_cla_l1_20240701T093115848_20240701T093123848.fits,5.4475,-126.72,4.0921,-126.735,4.0817,-125.776,5.4371,-125.759,1.02
01_ch2_cla_l1_20240701T194354911_20240701T194402911.fits,-84.848,-143.344,-85.9017,-146.306,-86.0135,-137.0,-84.9368,-135.92,0.2
01_ch2_cla_l1_20240701T100555848_20240701T100603848.fits,-78.3581,54.8614,-79.3697,55.01,-79.3354,58.2215,-78.3269,57.7904,0.59
01_ch2_cla_l1_20240701T194010911_20240701T194018911.fits,-73.3244,-135.502,-74.4462,-135.761,-74.4777,-133.108,-73.354,-133.017,0.25
01_ch2_cla_l1_20240701T110024112_20240701T110032112.fits,87.938,-121.02,86.7313,-123.304,86.5815,-109.71,87.7084,-100.611,0.19
01_ch2_cla_l1_20240701T154529767_20240701T154537767.fits,-68.7268,-132.465,-69.864,-132.621,-69.8878,-130.511,-68.7495,-130.458,0.01
01_ch2_cla_l1_20240701T193506911_20240701T193514911.fits,-57.7222,-133.743,-58.9054,-133.819,-58.9233,-132.319,-57.7396,-132.29,0.54
01_ch2_cla_l1_20240701T152401767_20240701T152409767.fits,-3.4978,-130.105,-4.8383,-130.122,-4.849,-129.179,-3.5085,-129.163,0.06
01_ch2_cla_l1_20240701T171341826_20240701T171349826.fits,17.253,-130.914,15.8973,-130.928,15.8859,-129.934,17.2415,-129.912,0.24
01_ch2_cla_l1_20240701T174157826_20240701T174205826.fits,-68.3248,-133.543,-69.4653,-133.696,-69.4894,-131.615,-68.3478,-131.561,0.14
01_ch2_cla_l1_20240701T172917826_20240701T172925826.fits,-29.6252,-131.646,-30.9055,-131.673,-30.9174,-130.652,-29.637,-130.636,0.32
01_ch2_cla_l1_20240701T190658911_20240701T190706911.fits,27.1653,-131.862,25.8144,-131.877,25.802,-130.82,27.1528,-130.793,0.64
01_ch2_cla_l1_20240701T131005195_20240701T131013195.fits,48.4332,-128.329,47.1048,-128.346,47.0898,-126.982,48.4178,-126.931,0.51
01_ch2_cla_l1_20240701T131637195_20240701T131645195.fits,28.8713,-128.601,27.5156,-128.615,27.5037,-127.536,28.8592,-127.509,0.11
01_ch2_cla_l1_20240701T154121767_20240701T154129767.fits,-56.0104,-131.418,-57.1978,-131.485,-57.2141,-130.047,-56.0263,-130.022,0.87
01_ch2_cla_l1_20240701T195026911_20240701T195034911.fits,-73.5859,49.1749,-74.5945,49.2662,-74.5682,51.4862,-73.5613,51.2573,1.03
01_ch2_cla_l1_20240701T152009767_20240701T152017767.fits,8.0899,-129.949,6.7364,-129.964,6.7255,-129.003,8.079,-128.984,0.07
01_ch2_cla_l1_20240701T132101196_20240701T132109195.fits,15.7138,-128.765,14.3548,-128.779,14.3438,-127.789,15.7027,-127.768,0.13
01_ch2_cla_l1_20240701T193322911_20240701T193330911.fits,-52.4119,-133.46,-53.615,-133.518,-53.631,-132.177,-52.4276,-132.153,0.44
01_ch2_cla_l1_20240701T192530911_20240701T192538911.fits,-28.4815,-132.718,-29.7651,-132.745,-29.7772,-131.731,-28.4935,-131.715,0.7
01_ch2_cla_l1_20240701T090547848_20240701T090555848.fits,81.8777,-124.706,80.6422,-124.901,80.5877,-119.815,81.8151,-118.87,0.39
01_ch2_cla_l1_20240701T110032112_20240701T110040112.fits,87.5339,-122.048,86.3245,-123.746,86.1904,-111.537,87.3386,-104.506,0.12
01_ch2_cla_l1_20240701T174237826_20240701T174245826.fits,-70.3822,-133.827,-71.5144,-134.012,-71.5407,-131.737,-70.4071,-131.673,0.52
01_ch2_cla_l1_20240701T174405826_20240701T174413826.fits,-74.9142,-134.717,-76.0277,-135.025,-76.0614,-132.114,-74.9455,-132.009,0.74
01_ch2_cla_l1_20240701T151617767_20240701T151625767.fits,19.6594,-129.8,18.3021,-129.814,18.2907,-128.805,19.6479,-128.782,0.33
01_ch2_cla_l1_20240701T194850911_20240701T194858911.fits,-78.5952,49.7609,-79.6197,49.9497,-79.5797,53.3121,-78.5589,52.8191,0.8
01_ch2_cla_l1_20240701T120336112_20240701T120344112.fits,-74.9891,53.4563,-75.9923,53.5487,-75.9661,55.9613,-74.9647,55.7054,1.0
01_ch2_cla_l1_20240701T120504112_20240701T120512112.fits,-70.3823,53.1486,-71.3709,53.2044,-71.3516,54.9854,-70.364,54.8387,0.31
01_ch2_cla_l1_20240701T164357826_20240701T164405826.fits,74.0055,46.0557,72.8766,46.3033,72.9046,48.7445,74.0354,48.6703,0.24
01_ch2_cla_l1_20240701T134741195_20240701T134749195.fits,-64.9857,-130.937,-66.1363,-131.05,-66.1566,-129.22,-65.0052,-129.182,0.41
01_ch2_cla_l1_20240701T172133826_20240701T172141826.fits,-6.3162,-131.235,-7.6512,-131.253,-7.6622,-130.31,-6.3271,-130.294,0.98
01_ch2_cla_l1_20240701T113240112_20240701T113248112.fits,-8.9824,-128.004,-10.3149,-128.022,-10.3253,-127.075,-8.9928,-127.06,0.04
01_ch2_cla_l1_20240701T110816112_20240701T110824112.fits,64.1225,-126.942,62.8306,-126.97,62.8095,-125.022,64.1004,-124.906,0.38
01_ch2_cla_l1_20240701T145513767_20240701T145521767.fits,83.0051,-127.447,81.7807,-127.744,81.7166,-122.048,82.9302,-120.788,0.28
01_ch2_cla_l1_20240701T153713767_20240701T153721767.fits,-43.3762,-130.903,-44.6106,-130.942,-44.6238,-129.779,-43.3892,-129.761,0.23
01_ch2_cla_l1_20240701T155417767_20240701T155425767.fits,-82.8188,52.7706,-83.8525,53.2221,-83.7877,58.9401,-82.7634,57.669,0.87
01_ch2_cla_l1_20240701T170605826_20240701T170613826.fits,39.9982,-130.608,38.6593,-130.624,38.6456,-129.421,39.9843,-129.383,0.28
01_ch2_cla_l1_20240701T170037826_20240701T170045826.fits,56.4071,-130.325,55.1014,-130.347,55.0834,-128.766,56.3885,-128.692,1.07
01_ch2_cla_l1_20240701T140125195_20240701T140133196.fits,-71.1583,52.1319,-72.1524,52.1938,-72.1317,54.067,-71.1384,53.9051,0.48
01_ch2_cla_l1_20240701T094923848_20240701T094931848.fits,-49.3248,-127.802,-50.5347,-127.849,-50.5482,-126.587,-49.3381,-126.569,0.88
01_ch2_cla_l1_20240701T120352112_20240701T120400112.fits,-74.1524,53.3886,-75.1527,53.4723,-75.1281,55.7404,-74.1293,55.5116,1.14
01_ch2_cla_l1_20240701T114152112_20240701T114200112.fits,-36.7651,-128.52,-38.0214,-128.551,-38.0332,-127.47,-36.7768,-127.455,0.95
01_ch2_cla_l1_20240701T112912112_20240701T112920112.fits,1.4184,-127.86,0.069,-127.876,0.0585,-126.926,1.4079,-126.91,0.85
01_ch2_cla_l1_20240701T132541195_20240701T132549196.fits,1.745,-128.945,0.3962,-128.96,0.3856,-128.011,1.7343,-127.995,0.3
01_ch2_cla_l1_20240701T100331848_20240701T100339848.fits,-85.858,57.5319,-86.8932,58.9105,-86.773,69.9859,-85.7673,65.9494,0.73
01_ch2_cla_l1_20240701T164333826_20240701T164341826.fits,72.7703,46.3327,71.646,46.5466,71.672,48.8129,72.798,48.7476,0.34
01_ch2_cla_l1_20240701T170813826_20240701T170821826.fits,33.6095,-130.699,32.2622,-130.713,32.2494,-129.592,33.5965,-129.561,0.12
01_ch2_cla_l1_20240701T184730911_20240701T184738911.fits,85.8072,-127.834,84.5985,-128.673,84.4995,-120.262,85.6807,-117.136,0.53
01_ch2_cla_l1_20240701T185122911_20240701T185130911.fits,74.0663,-130.72,72.8149,-130.795,72.7815,-127.931,74.0304,-127.644,0.12
01_ch2_cla_l1_20240701T135205195_20240701T135213195.fits,-78.584,-133.616,-79.6775,-134.136,-79.7198,-130.321,-78.6223,-130.152,1.01
01_ch2_cla_l1_20240701T134301196_20240701T134309196.fits,-50.6584,-130.061,-51.8651,-130.111,-51.8794,-128.818,-50.6724,-128.798,0.85
01_ch2_cla_l1_20240701T194458911_20240701T194506911.fits,-88.0019,-162.266,-89.2523,-160.252,-88.6427,-147.123,-88.2381,-143.578,0.66
01_ch2_cla_l1_20240701T153905767_20240701T153913767.fits,-49.0717,-131.102,-50.2855,-131.15,-50.2998,-129.888,-49.0858,-129.868,0.53
01_ch2_cla_l1_20240701T132229196_20240701T132237196.fits,11.326,-128.821,9.969,-128.835,9.9582,-127.862,11.3151,-127.843,1.18
01_ch2_cla_l1_20240701T175141826_20240701T175149826.fits,-80.3173,51.0772,-81.3453,51.3284,-81.2985,55.3737,-80.2755,54.691,0.72
01_ch2_cla_l1_20240701T114232112_20240701T114240112.fits,-38.7913,-128.572,-40.0406,-128.604,-40.0527,-127.502,-38.8032,-127.487,0.24
01_ch2_cla_l1_20240701T094747848_20240701T094755848.fits,-44.4388,-127.634,-45.6671,-127.674,-45.6797,-126.498,-44.4512,-126.481,0.73
01_ch2_cla_l1_20240701T112704112_20240701T112712112.fits,7.8067,-127.778,6.4506,-127.793,6.44,-126.83,7.7962,-126.812,1.07
01_ch2_cla_l1_20240701T112136112_20240701T112144112.fits,24.1549,-127.576,22.7947,-127.59,22.7834,-126.547,24.1434,-126.523,0.35
01_ch2_cla_l1_20240701T191226911_20240701T191234911.fits,10.8053,-132.081,9.4528,-132.097,9.4415,-131.13,10.7938,-131.11,0.71
01_ch2_cla_l1_20240701T093251848_20240701T093259848.fits,0.6554,-126.782,-0.6941,-126.797,-0.7044,-125.847,0.6451,-125.831,0.05
01_ch2_cla_l1_20240701T150321767_20240701T150329767.fits,58.4147,-129.215,57.1119,-129.238,57.0933,-127.578,58.3955,-127.497,0.89
01_ch2_cla_l1_20240701T092443848_20240701T092451848.fits,24.9834,-126.482,23.6215,-126.495,23.6102,-125.444,24.9719,-125.419,0.01
01_ch2_cla_l1_20240701T153057767_20240701T153105767.fits,-24.3665,-130.444,-25.6615,-130.467,-25.6728,-129.478,-24.3777,-129.463,0.41
01_ch2_cla_l1_20240701T133853195_20240701T133901195.fits,-38.0558,-129.651,-39.3079,-129.683,-39.3201,-128.589,-38.0678,-128.573,0.8
01_ch2_cla_l1_20240701T094315848_20240701T094323848.fits,-30.6598,-127.284,-31.9359,-127.31,-31.947,-126.283,-30.6708,-126.268,0.28
01_ch2_cla_l1_20240701T112928112_20240701T112936112.fits,0.6193,-127.871,-0.7291,-127.887,-0.7395,-126.938,0.6088,-126.922,1.2
01_ch2_cla_l1_20240701T105224112_20240701T105232112.fits,68.6095,50.3827,67.4964,50.5179,67.5163,52.3498,68.6303,52.3094,1.11
01_ch2_cla_l1_20240701T114800112_20240701T114808112.fits,-55.4856,-129.176,-56.6724,-129.238,-56.6878,-127.822,-55.5006,-127.799,0.38
01_ch2_cla_l1_20240701T191034911_20240701T191042911.fits,16.3928,-132.006,15.0387,-132.021,15.0271,-131.033,16.381,-131.011,1.18
01_ch2_cla_l1_20240701T192402911_20240701T192410911.fits,-24.0478,-132.627,-25.3437,-132.651,-25.3555,-131.663,-24.0595,-131.648,0.4
01_ch2_cla_l1_20240701T193210911_20240701T193218911.fits,-48.7436,-133.302,-49.9604,-133.352,-49.9755,-132.093,-48.7583,-132.072,0.7
01_ch2_cla_l1_20240701T134933196_20240701T134941196.fits,-70.7461,-131.622,-71.8732,-131.807,-71.8986,-129.505,-70.7702,-129.445,0.18
01_ch2_cla_l1_20240701T131853195_20240701T131901196.fits,22.0931,-128.686,20.7345,-128.7,20.7232,-127.673,22.0816,-127.65,0.98
01_ch2_cla_l1_20240701T132725195_20240701T132733196.fits,-3.4523,-129.016,-4.7937,-129.032,-4.8043,-128.088,-3.4628,-128.072,0.6
01_ch2_cla_l1_20240701T153729767_20240701T153737767.fits,-44.1888,-130.929,-45.4203,-130.969,-45.4336,-129.793,-44.2019,-129.776,0.49
01_ch2_cla_l1_20240701T091819848_20240701T091827848.fits,44.1243,-126.238,42.783,-126.253,42.7693,-124.969,44.1103,-124.927,1.13
01_ch2_cla_l1_20240701T125709196_20240701T125717196.fits,87.4838,-122.987,86.277,-124.717,86.142,-112.697,87.2896,-105.821,0.36
01_ch2_cla_l1_20240701T133621196_20240701T133629195.fits,-30.3694,-129.469,-31.6469,-129.496,-31.6583,-128.47,-30.3808,-128.455,0.55
01_ch2_cla_l1_20240701T155601767_20240701T155609767.fits,-77.4005,51.6155,-78.4165,51.7563,-78.3829,54.7305,-77.3697,54.3471,0.4
01_ch2_cla_l1_20240701T164549826_20240701T164557826.fits,79.7501,43.9097,78.6019,44.4997,78.645,48.2578,79.798,48.0933,1.12
01_ch2_cla_l1_20240701T194706911_20240701T194714911.fits,-84.0044,51.4169,-85.0457,52.1529,-84.9602,59.3001,-83.9337,57.3437,1.06
